ID,Artist,Track,Tags
5RDUCbvwPZdmjFbhZ5EY4N,MEDUZA,"Piece Of Your Heart","House, EDM, electronic, british, dance"
6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,"Not Like Us","MySpotigramBot, Diss, Hip-Hop, diss track, hip hop"
6ho0GyrWZN3mhi9zVRW7xi,FISHER,"Losing It","electronic, dance, techno, tech house, 666"
2KXwJZv1pRQFQ95Kj60jBN,FISHER,"Losing It - Radio Edit","party, 2018 single, bbc radio1 playlist 2018"
7F1CiKqrY44kh5cDqwHOnx,SLANDER,"Love Is Gone - Acoustic","rock"
4TIkSdsNSfqpuq6ZYvCjAz,Gryffin,"All You Need To Know","electronic, pop, EDM, Contemporary pop, future bass"
19m23w2ANVhtB7rApM6pbN,SLANDER,"Back To U","melodic dubstep"
3BxWKCI06eQ5Od8TY2JBeA,The Pussycat Dolls,"Buttons","pop, dance, sexy, rnb, The Pussycat Dolls"
6r5OaOArztjvur2lSqumAH,The Pussycat Dolls,"Top Of The World","pop, dance, The Pussycat Dolls, female vocalists, the city"
4lZbw23ts5G4nlzGgQbAxc,The Pussycat Dolls,"Buttons","pop, dance, sexy, rnb, The Pussycat Dolls"
0Ev562zA4pmUsBqjxsxxdx,Gryffin,"Feel Good","Electronic Pop"
0aB0v4027ukVziUGwVGYpG,Kendrick Lamar,"tv off","mustard, rap, kendrick lamar, west coast hip hop, 2024"
5UJbgR4XF4y1DvbkxEqe8S,Tate McRae,"Sports car","pop, best of 2025, electropop, soty, fernandacoxta"
2zOmS55knKWSgScYPTNmGQ,Tate McRae,"Sports car","pop, best of 2025, electropop, soty, fernandacoxta"
7MXVkk9YMctZqd1Srtv4MB,The Weeknd,"Starboy","rnb, pop, MySpotigramBot, electronic, Daft Punk"
6qn9YLKt13AGvpq9jfO8py,Rihanna,"We Found Love","pop, dance, Rihanna, female vocalists, electronic"
0U10zFw4GlBacOy9VDGfGL,Rihanna,"We Found Love","pop, dance, Rihanna, female vocalists, electronic"
5UqCQaDshqbIk3pkhy4Pjg,Avicii,"Levels - Radio Edit","dance, House, electronic, party, Progressive House"
6Xe9wT5xeZETPwtaP2ynUz,Avicii,"Levels - Original Version","electronic, House, dj, Sweden, EDM"
0ct6r3EGTcMLPtrXHDvVjc,Avicii,"The Nights","dance, electronic, pop, 2015, 2014"
56v8WEnGzLByGsDAXDiv4d,NewJeans,"ETA","baltimore club, pop, k-pop, 2023, catchy"
1aklRy3btsbucImSXvR2SY,Edward Maya,"Stereo Love - Original","pop, dance, eletronic, Romanian popcorn"
5Y87Aek2DGI5s4WNAh8zKR,Bryson Tiller,"502 Come Up","Hip-Hop, soul, rap, rnb, trap"
1nMKEA5cstslumoTJMVjIu,Louis The Child,"Slow Down Love","Soundtrack, steeldrum"
1aKvZDoLGkNMxoRYgkckZG,ILLIT,"Magnetic","Kpop, pluggnb, k-pop, soty, Korean"
1SNbKSraeBuFBuHeSpHLis,ILLIT,"Magnetic","Kpop, pluggnb, k-pop, soty, Korean"
0znsc67nMhP4X9hjhvoyeP,ILLIT,"Tick-Tack","electropop, dance-pop, Awesome, chiptune, Korean"
3yII7UwgLF6K5zW3xad3MP,Taylor Swift,"22","pop, taylor swift, country, love at first listen, female vocalists"
6rdkCkjk6D12xRpdMXy0I2,NewJeans,"New Jeans","k-pop, pop, rnb, love at first listen, UK Garage"
56v8WEnGzLByGsDAXDiv4d,NewJeans,"ETA","baltimore club, pop, k-pop, 2023, catchy"
5ocSQW5sIUIOFojwXEz9Ki,NewJeans,"Supernatural","new jack swing, k-pop, 2024, newjeans, acheimagra"
65FftemJ1DbbZ45DUfHJXE,NewJeans,"OMG","rnb, k-pop, pop, dance-pop, Kpop"
74X2u8JMVooG2QbjRxXwR8,LE SSERAFIM,"Perfect Night","k-pop, 2023, english, pop, Awesome"
2O4Bb2WCkjlTPO827OnBMI,LE SSERAFIM,"EASY","trap, rnb, k-pop, easy, LESSERAFIM"
3AoEQRuFf8zVXWqSLo2UOi,LE SSERAFIM,"CRAZY","House, k-pop, Kpop, pop, dance"
02wk5BttM0QL38ERjLPQJB,NewJeans,"Cool With You","UK Garage, k-pop, 2-step, dance-pop, Korean"
